2023/12/30 05:36:08 [error] 20#20: *2 "/etc/nginx/html/index.html" is not found (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "POST / HTTP/1.1", host: "localhost:80"
2023/12/30 05:37:02 [error] 20#20: *4 readv() failed (104: Connection reset by peer) while reading upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost"
2023/12/30 05:46:53 [error] 20#20: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost"
2023/12/30 05:49:09 [error] 20#20: *5 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost"
2023/12/30 09:55:21 [error] 20#20: *2 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost:80"
2023/12/30 09:55:29 [error] 20#20: *2 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost:80"
2023/12/30 09:55:39 [error] 20#20: *2 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost:80"
2023/12/30 09:55:54 [error] 20#20: *2 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost:80"
2023/12/30 09:56:02 [error] 20#20: *2 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost:80"
2023/12/30 09:56:18 [error] 20#20: *2 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost:80"
2023/12/30 09:57:02 [error] 20#20: *2 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: localhost, request: "POST /ai_api/animation/image_to_animation HTTP/1.1", upstream: "http://172.19.0.2:8000/ai_api/animation/image_to_animation", host: "localhost:80"
